Rank,Title,Artist,Year,genius_url
1,Rolling In The Deep,Adele,2011,https://genius.com/Adele-rolling-in-the-deep-lyrics
2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,https://genius.com/Hitradio-o3-nummer-eins-hits-in-osterreich-2011-annotated
3,Firework,Katy Perry,2011,https://genius.com/Katy-perry-firework-lyrics
4,E.T.,Katy Perry Featuring Kanye West,2011,https://genius.com/Pop-genius-hits-of-the-2000s-top-64-annotated
5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,https://genius.com/Genius-brasil-traducoes-pitbull-give-me-everything-ft-ne-yo-afrojack-and-nayer-traducao-em-portugues-lyrics
6,Grenade,Bruno Mars,2011,https://genius.com/Bruno-mars-grenade-lyrics
7,Super Bass,Nicki Minaj,2011,https://genius.com/Nicki-minaj-super-bass-lyrics
8,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,https://genius.com/Hitradio-o3-nummer-eins-hits-in-osterreich-2011-annotated
9,Just Can't Get Enough,The Black Eyed Peas,2011,https://genius.com/Black-eyed-peas-just-cant-get-enough-lyrics
10,On The Floor,Jennifer Lopez Featuring Pitbull,2011,https://genius.com/Covergirl-on-the-floor-jennifer-lopez-feat-pitbull-tribute-lyrics
11,S&M,Rihanna,2011,https://genius.com/Eminem-rap-god-lyrics
12,Pumped Up Kicks,Foster The People,2011,https://genius.com/Foster-the-people-pumped-up-kicks-lyrics
13,Last Friday Night (T.G.I.F.),Katy Perry,2011,https://genius.com/Katy-perry-last-friday-night-tgif-lyrics
14,Just The Way You Are,Bruno Mars,2011,https://genius.com/Bruno-mars-just-the-way-you-are-lyrics
15,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,https://genius.com/Enrique-iglesias-tonight-im-lovin-you-lyrics
16,Raise Your Glass,P!nk,2011,https://genius.com/P-nk-raise-your-glass-lyrics
17,Born This Way,Lady Gaga,2011,https://genius.com/Lady-gaga-born-this-way-lyrics
18,F**kin' Perfect,P!nk,2011,https://genius.com/P-nk-fkin-perfect-instrumental-lyrics
19,What's My Name?,Rihanna Featuring Drake,2011,https://genius.com/Usainweezycaynewarter-top-50-drake-featurez-oat-lyrics
20,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,https://genius.com/Billboard-hot-rap-songs-chart-25th-anniversary-top-100-songs-lyrics
21,Down On Me,Jeremih Featuring 50 Cent,2011,https://genius.com/Jeremih-down-on-me-lyrics
22,How To Love,Lil Wayne,2011,https://genius.com/Lil-wayne-how-to-love-lyrics
23,Someone Like You,Adele,2011,https://genius.com/Adele-someone-like-you-lyrics
24,The Good Life,OneRepublic,2011,https://genius.com/Onerepublic-good-life-lyrics
25,The Lazy Song,Bruno Mars,2011,https://genius.com/Bruno-mars-the-lazy-song-lyrics
26,Till The World Ends,Britney Spears,2011,https://genius.com/Britney-spears-till-the-world-ends-lyrics
27,The Show Goes On,Lupe Fiasco,2011,https://genius.com/Lupe-fiasco-the-show-goes-on-lyrics
28,The Edge Of Glory,Lady Gaga,2011,https://genius.com/Lady-gaga-the-edge-of-glory-lyrics
29,We R Who We R,Ke$ha,2011,https://genius.com/Kesha-we-r-who-we-r-lyrics
30,Black And Yellow,Wiz Khalifa,2011,https://genius.com/Wiz-khalifa-black-and-yellow-lyrics
31,Tonight Tonight,Hot Chelle Rae,2011,https://genius.com/Hot-chelle-rae-tonight-tonight-lyrics
32,Blow,Ke$ha,2011,https://genius.com/Kesha-blow-lyrics
33,Lighters,Bad Meets Evil Featuring Bruno Mars,2011,https://genius.com/Bad-meets-evil-lighters-lyrics
34,If I Die Young,The Band Perry,2011,https://genius.com/The-band-perry-if-i-die-young-lyrics
35,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,https://genius.com/Josiah-botting-youth-group-background-music-annotated
36,The Time (Dirty Bit),The Black Eyed Peas,2011,https://genius.com/Black-eyed-peas-the-time-dirty-bit-lyrics
37,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,https://genius.com/Diddy-dirty-money-coming-home-lyrics
38,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,https://genius.com/Thehills79-my-spotify-playlist-annotated
39,Only Girl (In The World),Rihanna,2011,https://genius.com/Rihanna-only-girl-in-the-world-lyrics
