Rank,Title,Artist,Year,url,lyrics
1,Bad Day,Daniel Powter,2006,https://www.azlyrics.com/lyrics/danielpowter/badday.html,where is the moment we needed the most you kick up the leaves and the magic is lost they tell me your blue skies fade to grey they tell me your passions gone away and i dont need no carryin on you stand in the line just to hit a new low youre faking a smile with the coffee to go you tell me your lifes been way off line youre falling to pieces every time and i dont need no carryin on cause you had a bad day youre taking one down you sing a sad song just to turn it around you say you dont know you tell me dont lie you work on a smile and you go for a ride you had a bad day the camera dont lie youre coming back down and you really dont mind you had a bad day you had a bad day well you need a blue sky holiday the point is they laugh at what you say and i dont need no carryin on you had a bad day youre taking one down you sing a sad song just to turn it around you say you dont know you tell me dont lie you work on a smile and you go for a ride you had a bad day the camera dont lie youre coming back down and you really dont mind you had a bad day oh what a horrible day sometimes the system goes on the blink and the whole thing turns out wrong you might not make it back and you know that you could be well oh that strong and im not wrong yeah yeah yeah yeah so where is the passion when you need it the most oh you and i you kick up the leaves and the magic is lost cause you had a bad day youre taking one down you sing a sad song just to turn it around you say you dont know you tell me dont lie you work on a smile and you go for a ride you had a bad day youve seen what you like and how does it feel for one more time you had a bad day you had a bad day ah yeah yeah had a bad day ah all the week had a bad day ah la la la la had a bad day ah
2,Temperature,Sean Paul,2006,https://www.azlyrics.com/lyrics/seanpaul/temperature.html,the gal them schillaci sean da paul so me give it to so me give to so me give it to to all girls five million and forty naughty shorty baby girl all my girls all my girls sean da paul say well woman the way the time cold i wanna be keepin you warm i got the right temperature for shelter you from the storm oh lord gal i got the right tactics to turn you on and girl i wanna be the papa you can be the mom make i see the gal them bruk out pon the floor from you dont want no worthless performer from you dont want no man they cant turn you on gal make i see your hand them up on ya cant tan pon it long naw eat no yam no steam fish nor no green banana but down in jamaica we give it to you hot like a sauna well woman the way the time cold i wanna be keepin you warm i got the right temperature for shelter you from the storm oh lord gal i got the right tactics to turn you on and girl i wanna be the papa you can be the mom bumper exposed and gal you got your chest out but you no wasters cause gal you impress out and if you des out a me you fi test out cause i got the remedy to make you destress out me haffi flaunt it because me god bless out and girl if you want it you haffi confess out a no lie weh we need set speed a fi test the mattress out well woman the way the time cold i wanna be keepin you warm i got the right temperature for shelter you from the storm oh lord gal i got the right tactics to turn you on and girl i wanna be the papa you can be the mom gal dont say me crazy now this strange love it a no bridgette and flava show time fi a make baby now so stop gwaan like you a act shady yo woman dont play me know cause i no fred sanford nor grady yo my lovin is the way to go my lovin is the way to go well woman the way the time cold i wanna be keepin you warm i got the right temperature for shelter you from the storm oh lord gal i got the right tactics to turn you on and girl i wanna be the papa you can be the mom when you roll with a player like me with a bredda like me girl there is no other no need to talk it right here just park it right here keep it undercover from me love how you fit inna you blouse and you fat inna you jeans and mi waan discover everything bout you baby girl can you hear when me utter well woman the way the time cold i wanna be keepin you warm i got the right temperature for shelter you from the storm oh lord gal i got the right tactics to turn you on and girl i wanna be the papa you can be the mom make i see the gal them bruk out pon the floor from you dont want no worthless performer from you dont want no man wey cant turn you on gal make i see your hand them up on ya cant tan pon it long naw eat no yam no steam fish nor no green banana but down in jamaica we give it to you hot like a sauna well woman the way the time cold i wanna be keepin you warm i got the right temperature for shelter you from the storm oh lord gal i got the right tactics to turn you on and girl i wanna be the papa you can be the mom
3,Promiscuous,Nelly Furtado Featuring Timbaland,2006,https://www.azlyrics.com/lyrics/nellyfurtado/promiscuous.html,am i throwin you off nope didnt think so how you doin young lady that feeling that you giving really drives me crazy you dont have a player bout to choke i was at a loss for words first time that we spoke youre lookin for a girl thatll treat you right how youre lookin for her in the daytime with the light you might be the type if i play my cards right ill find out by the end of the night you expect me to just let you hit it but will you still respect me if you get it all i can do is try gimme one chance chance whats the problem i dont see no ring on your hand hand ill be the first to admit it im curious about you you seem so innocent you wanna get in my world get lost in it boy im tired of runnin lets walk for a minute promiscuous girl wherever you are im all alone and its you that i want promiscuous boy you already know that im all yours what you waiting for promiscuous girl youre teasin me you know what i want and i got what you need promiscuous boy lets get to the point cause were on a roll you ready roses are red some diamonds are blue chivalry is dead but youre still kinda cute hey i cant keep my mind off you where you at do you mind if i come through im out of this world come with me to my planet get you on my level do you think that you can handle it they call me thomas last name crown recognize game ima lay mines down im a big girl i can handle myself but if i get lonely ima need your help pay attention to me i dont talk for my health i want you on my team so does everybody else shh baby we can keep it on the low low let your guard down aint nobody gotta know know if you with it girl i know a place we can go what kind of girl do you take me for promiscuous girl wherever you are im all alone and its you that i want promiscuous boy you already know that im all yours what you waiting for promiscuous girl youre teasin me you know what i want and i got what you need promiscuous boy lets get to the point cause were on a roll you ready dont be mad dont get mean dont get mad dont be mean hey dont be mad dont get mean dont get mad dont be mean wait i dont mean no harm i can see you with my tshirt on i can see you with nothin on feelin on me before you bring that on bring that on you know what i mean girl im a freak you shouldnt say those things im only trying to get inside of your brain to see if you can work me the way you say its ok its alright i got something that you gon like hey is that the truth or are you talking trash is your game mvp like steve nash promiscuous girl wherever you are im all alone and its you that i want promiscuous boy im callin your name but youre drivin me crazy the way youre makin me wait promiscuous girl youre teasin me you know what i want and i got what you need promiscuous boy were one and the same so we dont gotta play games no more
4,You're Beautiful,James Blunt,2006,https://www.azlyrics.com/lyrics/jamesblunt/yourebeautiful.html,my life is brilliant my life is brilliant my love is pure i saw an angel of that im sure she smiled at me on the subway she was with another man but i wont lose no sleep on that cause ive got a plan youre beautiful youre beautiful youre beautiful its true i saw your face in a crowded place and i dont know what to do cause ill never be with you yes she caught my eye as we walked on by she could see from my face that i was fucking high flying high videoradio edited version and i dont think that ill see her again but we shared a moment that will last til the end youre beautiful youre beautiful youre beautiful its true i saw your face in a crowded place and i dont know what to do cause ill never be with you youre beautiful youre beautiful youre beautiful its true there must be an angel with a smile on her face when she thought up that i should be with you but its time to face the truth i will never be with you
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,https://www.azlyrics.com/lyrics/shakira/hipsdontlie.html,ladies up in here tonight no fighting we got the refugees up in here no fighting no fighting shakira shakira i never really knew that she could dance like this she make a man wanna speak spanish âcã³mo se llama sã bonita sã mi casa sã shakira shakira su casa oh baby when you talk like that you make a woman go mad so be wise sã and keep on sã reading the signs of my body uno dos tres cuatro im on tonight you know my hips dont lie and im starting to feel its right all the attraction the tension dont you see baby this is perfection hey girl i can see your body moving and its driving me crazy and i didnt have the slightest idea until i saw you dancing and when you walk up on the dance floor nobody cannot ignore the way you move your body girl just smooth and everythings so unexpected â the way you right and left it so you can keep on shaking it lets go i never really knew that she could dance like this she make a man wanna speak spanish âcã³mo se llama sã bonita sã mi casa sã shakira shakira su casa oh baby when you talk like that you make a woman go mad so be wise sã and keep on sã reading the signs of my body no fighting im on tonight you know my hips dont lie no fighting and im starting to feel you boy come on lets go real slow dont you see baby asã es perfecto baby i know im on tonight my hips dont lie and im starting to feel its right all the attraction the tension dont you see baby this is perfection shakira shakira oh boy i can see your body moving half animal half man i dont dont really know what im doing but you seem to have a plan my will and selfrestraint have come to fail now fail now see im doing what i can but i cant so you know thats a bit too hard to explain uno dos tres cuatro baila en la calle de noche uh yeah baila en la calle de dãa lets go baila en la calle de noche uh yeah baila en la calle de dãa lets go i never really knew that she could dance like this she make a man wanna speak spanish âcã³mo se llama sã bonita sã mi casa sã shakira shakira su casa oh baby when you talk like that you know you got me hypnotized so be wise sã and keep on sã reading the signs of my body seãorita feel the conga let me see you move like you come from colombia yeah oh yeah ladies sã yeah yeah hey yeah mira en barranquilla se baila asã say it mira en barranquilla se baila asã yeah shes so sexy every mans fantasy a refugee like me back with the fugees from a thirdworld country i go back like when pac carried crates for humpty humpty we lead the whole club jazzy why the cia wanna watch us colombians and haitians i aint guilty its a musical transaction bobopsobop no more do we snatch ropes refugees run the seas cause we own our own boats boats no fighting im on tonight my hips dont lie and im starting to feel you boy come on lets go real slow baby like this is perfecto no fighting oh you know im on tonight and my hips dont lie and im starting to feel its right the attraction the tension baby like this is perfection no fighting no fighting
6,Unwritten,Natasha Bedingfield,2006,https://www.azlyrics.com/lyrics/natashabedingfield/unwritten.html,i am unwritten cant read my mind im undefined im just beginning the pens in my hand ending unplanned staring at the blank page before you open up the dirty window let the sun illuminate the words that you could not find reaching for something in the distance so close you can almost taste it release your inhibitions feel the rain on your skin no one else can feel it for you only you can let it in no one else no one else can speak the words on your lips drench yourself in words unspoken live your life with arms wide open today is where your book begins the rest is still unwritten i break tradition sometimes my tries are outside the line weve been conditioned to not make mistakes but i cant live that way staring at the blank page before you open up the dirty window let the sun illuminate the words that you could not find reaching for something in the distance so close you can almost taste it release your inhibitions feel the rain on your skin no one else can feel it for you only you can let it in no one else no one else can speak the words on your lips drench yourself in words unspoken live your life with arms wide open today is where your book begins feel the rain on your skin no one else can feel it for you only you can let it in no one else no one else can speak the words on your lips drench yourself in words unspoken live your life with arms wide open today is where your book begins the rest is still unwritten staring at the blank page before you open up the dirty window let the sun illuminate the words that you could not find reaching for something in the distance so close you can almost taste it release your inhibitions feel the rain on your skin no one else can feel it for you only you can let it in no one else no one else can speak the words on your lips drench yourself in words unspoken live your life with arms wide open today is where your book begins feel the rain on your skin no one else can feel it for you only you can let it in no one else no one else can speak the words on your lips drench yourself in words unspoken live your life with arms wide open today is where your book begins the rest is still unwritten the rest is still unwritten the rest is still unwritten
7,Crazy,Gnarls Barkley,2006,https://www.azlyrics.com/lyrics/gnarlsbarkley/crazy.html,i remember when i remember i remember when i lost my mind there was something so pleasant about that place even your emotions have an echo in so much space mmm and when youre out there without care yeah i was out of touch but it wasnt because i didnt know enough i just knew too much mm does that make me crazy does that make me crazy does that make me crazy possibly and i hope that you are having the time of your life but think twice thats my only advice mm come on now who do you who do you who do you who do you think you are ha ha ha bless your soul you really think youre in control well i think youre crazy i think youre crazy i think youre crazy just like me my heroes had the heart to lose their lives out on the limb and all i remember is thinkin i wanna be like them mmhmm ever since i was little ever since i was little it looked like fun and its no coincidence ive come and i can die when im done but maybe im crazy maybe youre crazy maybe were crazy probably mmwoah ooh ooh wooooh ooh ooh oohhoo mmhmm
8,Ridin',Chamillionaire Featuring Krayzie Bone,2006,https://www.azlyrics.com/lyrics/chamillionaire/ridin.html,they see me rolling they hating patrolling they trying to catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty my music so loud im swanging they hoping that they gon catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty chamillionaire police think they can see me lean im tint so it aint easy to be seen police see me ride by they can see the gleam and my shine on the deck and the tv screen ride with a new chick she like hold up next to the playstation controller is a full clip and my pistola send a jacker into a coma girl you aint know im crazy like krayzie bone just tryna bone aint tryna have no babies ride clean as hell so i pull in ladies laws on patrol and you know they hate me music turned all the way up into the maximum i got speakers some niggas tryna jack for some but we packing something and what we have for em well have a nigga locked up in a maximum security cell im gripping oak music loud and im tipping slow twins steady twisting like hit this dough police pull up right behind and its in his throat windows down gotta stop pollution cd changes niggas like who is that producing thats the playnskillz when we out and cruising got warrants in every city except houston but im still aint losing they see me rolling they hating patrolling they trying to catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty my music so loud im swanging they hoping that they gon catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty krayzie bone i been drinking and smoking holy shit cause i really cant focus i gotta get it home fore the po pos scope this big old excursion swerving all up in the curbing nigga be sipping on the hennessey and the gin again its in again we in the wind doing a hundred while i puff on a blunt and roll another one up we living like we aint giving a fuck i got a blunt up in my right hand 40 oz in my lap freezing my balls roll another tree green leaves and all coming pretty deep me and my dogs yo i gotta get the back streets wondering about the six pounds and i got heat glock glock shots to the block we creep creep pop pop hope cops dont see me on a low key with no regard for the law we dodge em like fuck em all but i wont get caught up and brought up on charges for none of yall keep a gun in car and a blunt to spark roll it up if you want nigga get it popping dog ready or not we bust shots off in the air krayzie bone and chamillionaire they see me rolling they hating patrolling they trying to catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty my music so loud im swanging they hoping that they gon catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty chamillionaire now would you think it so i tried to let you go turn on my blinker light and then i swang it slow and they upset for sure cause they think they know that they catching me with plenty of the drank and dro so they get behind me tryna check my tags look in my rear view and they smiling thinking theyll catch me in the wrong they keep trying steady denying that its racial profiling houston texas you can check my tags pull me over try to check my slab glove compartment gotta get my cash cause the crooked copsll try to come up fast and being the baller that i am i talk to them giving a damn about them not feeling my attitude when they realize i aint even riding dirty bet youll be leaving with an even madder mood imma laugh at you and then ill have to cruise yeah my 2 on some oldschool dj screw you cant arrest me plus you cant sue this is a message to the law telling them we hate you i cant be touched and tell em that they shoulda known tipping down im sitting crooked on my chrome bookin my phone finding a chick i wanna bone like they couldnt stop me im bout to pull up at your home and its on 2x they see me rolling they hating patrolling they trying to catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty my music so loud im swanging they hoping that they gon catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty tryna catch me riding dirty
9,SexyBack,Justin Timberlake,2006,https://www.azlyrics.com/lyrics/justintimberlake/sexyback.html,im bringing sexy back them other boys dont know how to act i think its special whats behind your back so turn around and ill pick up the slack take it to the bridge dirty babe you see these shackles baby im your slave ill let you whip me if i misbehave its just that no one makes me feel this way take it to the chorus come here girl go ahead be gone with it come to the back go ahead be gone with it vip go ahead be gone with it drinks on me go ahead be gone with it let me see what youre twerking with go ahead be gone with it look at those hips go ahead be gone with it you make me smile go ahead be gone with it go ahead child go ahead be gone with it and get your sexy on go ahead be gone with it 7x get your sexy on go ahead be gone with it get your sexy on im bringing sexy back them other fuckers dont know how to act come let me make up for the things you lack cause youre burning up i gotta get it fast take it to the bridge dirty babe you see these shackles baby im your slave ill let you whip me if i misbehave its just that no one makes me feel this way take it to the chorus come here girl go ahead be gone with it come to the back go ahead be gone with it vip go ahead be gone with it drinks on me go ahead be gone with it let me see what youre twerking with go ahead be gone with it look at those hips go ahead be gone with it you make me smile go ahead be gone with it go ahead child go ahead be gone with it and get your sexy on go ahead be gone with it 7x get your sexy on go ahead be gone with it get your sexy on you ready you ready you ready yes im bringing sexy back you motherfuckers watch how i attack if thats your girl you better watch your back cause shell burn it up for me and thats a fact take it to the chorus come here girl go ahead be gone with it come to the back go ahead be gone with it vip go ahead be gone with it drinks on me go ahead be gone with it let me see what youre twerking with go ahead be gone with it look at those hips go ahead be gone with it you make me smile go ahead be gone with it go ahead child go ahead be gone with it and get your sexy on go ahead be gone with it 7x get your sexy on go ahead be gone with it get your sexy on you ready yes you ready yes you ready yes
10,Check On It,Beyonce Featuring Slim Thug,2006,https://www.azlyrics.com/lyrics/beyonceknowles/checkonit.html,swizz beatz dc destiny child slim thug you need to stop playing round with all them clowns and the wanksters good girls gotta get down with the gangsters go head girl put some back and some neck up on it while i stand up in the background and check up on it ooh boy you looking like you like what you see wont you come over and check up on it im a let you work up on it ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight if you got it flaunt it boy i know you want it while i turn around you watch me check up on it ooh you watchin me shake it i see it in ya face ya cant take it its blazin you watch me in amazement you can look at it as long as you dont grab it if you dont go braggin i might let you have it you think that im teasin but i aint got no reason im sure that i can please ya but first i gotta read you ooh boy you looking like you like what you see wont you come over and check up on it im a let you work up on it ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight ooh boy you looking like you like what you see wont you come over and check up on it im a let you work up on it ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight i can tell you wanna taste it but ima make you chase it youve got to be patient i like my men patient more patience you take my get you in more places you cant be abrasive has to know to pace it if i let you get up on it you gotta make a promise that you gon put it on me like no ones put it on me dont bore me just show me all men talk but dont please i can be a tease but i really wanna please you ooh boy you looking like you like what you see wont you come over and check up on it im a let you work up on it ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight ooh boy you looking like you like what you see wont you come over and check up on it im a let you work up on it ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight well its the king of the underground and the king of the trill standin on the top of the south like the king of the hill youre tuned into a winner thats never takin a loss reppin houston with beyoncã and slim thug the boss diamonds on the wood peel im a dirty south soldier draped up in that crown holder homie i thought i told ya i like your wiggle and the way that you work it but no touchin just watchin you twerk it im checkin up on you tonight ooh boy you looking like you like what you see yeah yeah wont you come over and check up on it im a let you work up on it all my ladies ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight yeah check on it check on it check on it check on it ooh boy you looking like you like what you see wont you come over and check up on it im a let you work up on it ladies let em check up on it watch it while he check up on it dip it pop it twerk it stop it check on me tonight hey ooh boy you looking like you like what you see wont you come over and check up on it you so sexy boy im a let you work up on it ladies let em check up on it watch it while he check up on it and i know you want it dip it pop it twerk it stop it check on me tonight so baby check up on me ooh boy you looking like you like what you see he having such a good time wont you come over and check up on it im gonna work it baby youre mine im a let you work up on it ladies let em check up on it watch it while he check up on it all mine all mine dip it pop it twerk it stop it check on me tonight
11,Be Without You,Mary J. Blige,2006,https://www.azlyrics.com/lyrics/maryjblige/bewithoutyou.html,i wanna be with you gotta be with you need to be with you ohoh ohoh i wanna be with you gotta be with you need to be with you ohoh ohoh ooh ohoh ohoh ooh ohoh ohoh chemistry was crazy from the getgo neither one of us knew why we didnt build nothin overnight cause a love like this takes some time people swore it off as a phase said we cant see that now from top to bottom they see that we did that yes its so true that yes we been through it yes we got real shit yes see baby weve been too strong for too long and i cant be without you baby and ill be waitin up until you get home cause i cant sleep without you baby oh anybody whos ever loved you know just what i feel too hard to fake it nothin can replace it call the radio if you just cant be without your baby yeah i got a question for ya see i already know the answer but still i wanna ask you will you lie no make me cry no do somethin behind my back and then try to cover it up well neither would i baby my love is on the up and up yes ill be faithful yes im for real yes and with us youll always know the deal weve been too strong for too long and i cant be without you baby oh and ill be waitin up until you get home cause i cant sleep without you baby oh oh if anybody whos ever loved you know just what i feel too hard to fake it nothin can replace it call the radio if you just cant be without your baby yeah see this is real talk ima always stay no matter what good or bad thick and thin right or wrong all day every day hey now if youre down on love or dont believe this aint for you no this aint for you and if you got it deep in your heart and deep down you know that its true come on come on come on well let me see you put your hands up hands up fellas tell your lady shes the one fellas tell your lady shes the one oh put your hands up hands up ladies let him know hes got you locked look him right in his eyes and tell him weve been too strong for too long and i cant be without you baby cant be without you baby ill be waitin up until you get home cause i cant sleep without you baby oh if anybody whos ever loved you know just what i feel too hard to fake it nothin can replace it call the radio if you just cant be without your baby i wanna be with you gotta be with you need to be with you i wanna be with you gotta be with you need to be with you i wanna be with you gotta be with you need to be with you i wanna be with you gotta be with you need to be with you i wanna be with you gotta be with you need to be with you
